RowNumber,CustomerId,Surname,First Name,Date of Birth,Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Address,Contact Information,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Churn Date,Balance,NumOfProducts,NumComplaints
14,d9188e85-2926-412f-8083-1bcb7f5d1ffd,Wagner,James,1996-04-01,Female,Single,1.0,Health and safety adviser,35415.53,High School,"116 Yvette Drive
New Amanda, NY 31796",(266)785-1559,22.0,SME,Email,750.0,12.0,35513.69,0.0,,,31446.19,2.0,0.0
15,f3485bfa-d927-4d68-b61a-77c9999dbd65,Zimmerman,David,1956-04-14,Female,Married,4.0,"Scientist, research (maths)",44108.56,Diploma,"9361 Angela Stream Apt. 303
Fernandoberg, NM 11971",001-837-537-0263x34118,22.0,SME,Email,609.0,28.0,46330.11,0.0,,,126906.93,3.0,10.0
16,55ef7db8-346b-430d-8fe3-ffd4e1382850,Stout,Charles,1956-07-05,Male,Single,2.0,Soil scientist,10051.24,Diploma,"7593 Weiss Radial
South Brian, PA 32423",+1-429-457-9937x9101,13.0,Corporate,Phone,678.0,3.0,15156.6,0.0,,,143624.95,2.0,10.0
17,963aaa61-c10f-46cb-be53-51505d395bd1,Medina,Adam,1996-10-24,Male,Divorced,2.0,Animal nutritionist,19725.99,Master's,"5990 Douglas Street Apt. 578
Robertsonmouth, ID 08914",544.773.2718x2419,23.0,Retail,Email,399.0,22.0,31765.09,1.0,Relocation,2024-04-30,18249.32,4.0,10.0
18,c0d1baf8-eb34-4fa0-9784-98cea756acb5,Barker,Kelly,1974-04-14,Male,Married,1.0,Secondary school teacher,19632.81,Master's,"31762 Eric Oval
East Dannytown, TX 86233",278.430.8589,8.0,Corporate,Email,744.0,17.0,7803.87,0.0,,,72541.01,4.0,10.0
19,b307039e-5723-4cfe-b793-cdb0822a66d9,Garcia,Mandy,1976-10-26,Female,Married,1.0,Civil Service administrator,17002.05,Diploma,"3267 Haynes Roads Apt. 605
Knightview, MD 25372",747-623-3046,23.0,Retail,Email,516.0,30.0,37680.08,1.0,Account Closure,2024-05-05,47496.0,1.0,6.0
20,859e5501-c58d-48bb-b20b-e19fbccb9712,Coleman,Robert,1982-09-09,Female,Single,0.0,"Engineer, site",69930.91,High School,"27728 Amber Lakes Suite 809
Isaiahstad, FL 75598",001-301-733-2261x5048,14.0,Retail,Email,790.0,8.0,29280.66,0.0,,,60845.11,1.0,6.0
21,4edc97b3-f6bf-45dd-8cfb-b8f1c82be8a5,Jones,Nathaniel,1963-05-29,Male,Married,1.0,"Engineer, biomedical",65032.92,Master's,"10225 Floyd Mountain Apt. 167
North Ruthfurt, AL 09967",4828732509,26.0,Corporate,Email,414.0,12.0,2381.23,0.0,,,141183.72,2.0,3.0
22,a654eb64-9cce-4cd7-835a-5c9a1d73cb33,Martinez,Kevin,1990-01-15,Male,Single,0.0,"Engineer, civil (contracting)",39981.11,Bachelor's,"Unit 9654 Box 7101
DPO AE 25766",2685896429,25.0,Retail,Phone,437.0,2.0,6761.18,1.0,Account Closure,2024-06-13,75231.59,2.0,9.0
23,f6610a9c-2211-4325-a4cc-338d1e241942,Smith,Amber,1960-03-06,Male,Single,0.0,"Psychotherapist, child",91831.65,Master's,"075 Kayla Meadows
West Suzanneborough, GA 39362",283-375-1330x99703,18.0,SME,Phone,394.0,27.0,6976.75,0.0,,,235451.48,5.0,1.0
24,2697df06-107d-42da-813e-c2fd9d9c9faf,Alexander,Katherine,2004-05-30,Female,Divorced,0.0,Conference centre manager,78471.18,Master's,"7934 Sherri Road Suite 070
Mcphersonview, ME 11381",322.423.3535,24.0,Corporate,Email,393.0,21.0,5417.06,0.0,,,83954.38,3.0,1.0
25,3ccb2f7a-79fb-41f5-ae80-cb6e105e36c4,Wright,James,1984-05-18,Male,Married,0.0,Product/process development scientist,92292.74,High School,"34888 Ewing Extension
East Stacey, NC 70915",618.651.6739,16.0,Retail,Phone,520.0,29.0,36332.9,0.0,,,169581.13,3.0,0.0
26,32330b49-1bc9-4919-9c6a-df85922b6d9e,Patterson,Martin,1965-03-21,Male,Married,4.0,Broadcast engineer,52775.33,High School,"89958 Kimberly Path Apt. 568
Melissaside, IL 30681",757.221.3548,16.0,Retail,Phone,515.0,26.0,5663.8,0.0,,,233471.12,4.0,8.0
27,70686864-3867-47b7-90c3-e430d33aea5d,Grimes,Margaret,1963-09-07,Male,Married,1.0,Patent attorney,14710.59,High School,"06816 Jamie Cove
Kimberlyhaven, AR 70345",(820)943-6700,13.0,SME,Phone,559.0,28.0,39797.76,0.0,,,114903.09,2.0,0.0
28,8d0c44ff-8b1c-4730-88cd-ac38fbd4fbab,Gibbs,Andrew,1949-01-07,Male,Divorced,1.0,Insurance claims handler,46317.6,High School,"4200 James Ridge Suite 813
Cruzchester, NC 16073",001-428-662-3411,26.0,Retail,Email,387.0,22.0,12373.92,0.0,,,224404.73,4.0,0.0
29,cd143610-b0ea-4329-9ba8-b5e7f7d3b4b2,Herrera,Kristin,1979-07-31,Female,Single,4.0,Police officer,40613.05,Bachelor's,"526 Wilkinson Fall Suite 019
Camposland, VA 86709",640.785.9411x27299,28.0,Retail,Phone,309.0,29.0,16896.93,0.0,,,88966.86,4.0,0.0
30,70a68ec5-f9d8-44b9-937b-3aab650d9c70,Sanchez,Peter,1970-03-20,Male,Divorced,2.0,Counselling psychologist,57344.57,High School,"55088 Andrew Spurs Apt. 179
Port Curtischester, MN 51815",001-562-983-2008x471,8.0,SME,Phone,829.0,5.0,37993.92,0.0,,,40478.17,4.0,6.0
31,52daf603-0a34-4ee2-8e04-6fe371b898b4,Rich,Daniel,1977-12-07,Male,Divorced,4.0,Insurance account manager,71236.42,High School,"519 Cameron Isle Suite 807
Ginabury, VA 37351",682-722-6447x5212,24.0,SME,Phone,683.0,15.0,23390.07,0.0,,,248242.41,5.0,4.0
32,090cb93e-a282-4973-8b7d-749b960f2f0d,Alvarez,Traci,1953-08-20,Female,Divorced,1.0,Theatre stage manager,88336.88,High School,"40761 Lee Crescent
Lake Jeremy, UT 93481",708-941-9197x30995,3.0,SME,Phone,617.0,11.0,42389.15,0.0,,,87306.22,4.0,4.0
33,7b3bb9c9-2b18-4867-bf44-d788dc51ab72,Miller,Natasha,1965-09-30,Female,Married,1.0,Research scientist (life sciences),64467.74,Bachelor's,"Unit 5407 Box 0076
DPO AE 26839",(495)214-5361x3421,7.0,SME,Email,303.0,14.0,22006.17,0.0,,,160303.04,3.0,5.0
34,8bbd3ae3-b050-4623-868f-e09e462f57f0,Greene,Lisa,1992-01-19,Female,Married,3.0,Multimedia programmer,53756.54,High School,"25814 Perez Turnpike
Danielton, VT 82832",(316)840-8270,9.0,Corporate,Email,668.0,8.0,36169.98,0.0,,,87776.33,4.0,7.0
35,f865ccfa-d873-420f-b1c3-9cac7fab1096,Norris,Martin,1971-02-14,Female,Married,3.0,"Designer, interior/spatial",80229.05,Diploma,"07401 Andre Turnpike Suite 401
Matthewsborough, MO 97605",(536)940-6998x37635,12.0,Retail,Phone,800.0,15.0,46050.22,0.0,,,177098.69,3.0,9.0
36,2f10e6ab-5753-474e-a6ec-85923c4b1660,Roach,Joseph,1975-02-19,Male,Single,2.0,Risk analyst,98732.96,High School,"22024 Boyd Branch Apt. 937
North Brian, WI 64947",732.584.4173x25305,26.0,Retail,Phone,682.0,22.0,29249.65,0.0,,,196614.71,5.0,2.0
37,344350d9-0447-4ac3-bb07-a5f9f6fa0529,Maxwell,James,1996-05-30,Male,Single,5.0,Podiatrist,50627.29,Bachelor's,"71357 Robert Skyway Apt. 019
East David, IL 08628",(755)273-7818x83131,8.0,Corporate,Phone,459.0,6.0,6271.79,1.0,Account Closure,2024-03-06,40373.67,3.0,10.0
38,f452fc73-c271-48bc-891d-1682af41d073,Murphy,Robert,1961-09-03,Female,Divorced,2.0,"Physicist, medical",83123.02,Master's,"USNS Carter
FPO AP 32808",(873)219-2385x88643,25.0,SME,Phone,795.0,24.0,25245.19,0.0,,,76710.95,1.0,3.0
39,a7cd265f-5016-4ec8-b37e-ab147607193a,Wallace,Robert,1957-07-03,Female,Divorced,0.0,Customer service manager,21518.49,Master's,"25204 Gibbs Drives Suite 919
West Brandonfurt, IA 34492",343.935.4784x632,23.0,SME,Phone,364.0,2.0,5232.36,0.0,,,127097.74,1.0,4.0
40,105bafc2-7ae8-462d-a48b-1e6964bb806a,Gould,George,1982-10-14,Male,Single,0.0,Counselling psychologist,87512.21,Bachelor's,"34417 Gutierrez Rest
West Michaelton, OH 96732",629-225-6321,26.0,SME,Email,829.0,7.0,31164.72,0.0,,,27852.11,5.0,7.0
41,dd9e9aee-a971-46d9-8702-0d5f7fb26b7b,Harris,Charles,2006-03-01,Male,Divorced,5.0,Housing manager/officer,85636.57,High School,"868 Franklin Island
Lake Jasonport, KY 52366",800-261-9917x259,16.0,SME,Phone,415.0,29.0,48322.31,0.0,,,63093.16,1.0,2.0
42,60ea75de-8bc6-4662-b969-c0a04ba085ab,Perez,Loretta,1965-11-17,Male,Single,3.0,Armed forces operational officer,23790.18,Diploma,"170 Henry Drive
West Melissafurt, NY 65612",(671)622-8120x4326,28.0,Corporate,Email,447.0,11.0,40597.98,0.0,,,64127.57,5.0,1.0
43,0d491358-43dd-4c0b-bac1-a32ae4fa7c8e,Rice,Debbie,2001-12-14,Male,Single,0.0,Press photographer,98489.19,Bachelor's,"4762 Martinez Highway Suite 489
Annetteberg, CA 21048",+1-678-366-5266x3533,27.0,SME,Phone,592.0,27.0,28528.36,0.0,,,225678.58,3.0,2.0
44,e4eca155-849d-4abb-abde-f4bb0e6a61fe,Brooks,Christine,1967-10-11,Male,Single,3.0,Estate manager/land agent,64933.28,Bachelor's,"2619 Jennifer Place
Robertfort, AK 84796",001-841-721-3909x9446,30.0,Corporate,Email,408.0,18.0,33691.3,0.0,,,57845.5,3.0,3.0
45,4f022fa2-be35-4722-9953-aacab2e7106a,Jones,Sue,1971-01-24,Male,Married,3.0,"Presenter, broadcasting",72063.83,Diploma,"PSC 2628, Box 3296
APO AE 14581",597.457.7583x23070,21.0,SME,Email,453.0,14.0,36268.21,0.0,,,97674.07,5.0,9.0
46,37969a52-01fe-4978-b3de-3d1344130e23,Ramos,Samantha,1978-01-30,Male,Divorced,2.0,Restaurant manager,23819.57,Diploma,"USS Henderson
FPO AE 84553",(294)535-5189x7036,27.0,Corporate,Email,850.0,12.0,13055.58,0.0,,,42643.8,3.0,7.0
47,170389a2-3fff-4f04-b7e3-d256669d7426,Johns,Clayton,1952-03-07,Male,Married,4.0,Photographer,43893.01,Master's,"2166 William Prairie
Nelsonstad, KS 42129",344-334-7362,16.0,SME,Email,343.0,23.0,10827.3,0.0,,,193263.84,5.0,10.0
48,83262452-22bb-4aa9-aace-65dfe7fd2577,Montgomery,Kristen,1956-01-26,Male,Single,1.0,"Teacher, primary school",50043.77,Diploma,"928 Everett Key Suite 786
Haletown, TN 70913",001-589-695-6138,19.0,Retail,Phone,644.0,26.0,25673.56,0.0,,,134404.42,2.0,10.0
49,2ebda639-4925-44c5-8605-d08798e656f1,Nichols,Monica,1959-08-21,Female,Single,3.0,"Psychotherapist, dance movement",60947.5,Diploma,"41418 Patel Underpass Apt. 868
East Melanie, MI 16654",001-686-927-5622x2766,30.0,SME,Phone,356.0,5.0,18190.69,0.0,,,118613.65,5.0,10.0
50,16738cad-b800-4d15-95db-a4d5dc55c15d,Lane,Mark,1983-07-28,Female,Single,0.0,Water quality scientist,11078.92,Bachelor's,"PSC 0463, Box 5293
APO AA 29518",989-257-1187x03387,5.0,Corporate,Phone,709.0,5.0,17685.73,0.0,,,157076.39,2.0,2.0
23,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,
r,,,,,,,h,,,,,,,,,,,,,,,,5,
