RowNumber,CustomerId,Surname,credit score,Age,Balance,EstimatedSalary,,Point Earned
108,15584776,Shen,785,36,99806.85,36976.52,,786
109,15777772,Whittaker,605,33,150092.8,71862.79,,509
110,15576156,Abazu,479,35,92833.89,99449.86,,328
111,15646756,Murphy,685,30,90536.81,63082.88,,347
112,15742886,Ford,538,39,108055.1,27231.26,,534
113,15586135,Gratwick,562,42,100238.35,86797.41,,709
114,15616152,Pai,675,36,106190.55,22994.32,,749
115,15721460,Lorenzo,721,28,154475.54,101300.94,,541
116,15727317,Brady,628,30,132351.29,74169.13,,736
117,15649536,Wong,668,37,167864.4,115638.29,,529
118,15754929,Douglas,506,41,0,31766.3,,594
119,15572051,Kennedy,524,31,107818.63,199725.39,,462
120,15668142,Chang,699,34,185173.81,120834.48,,429
121,15701176,Brown,828,34,129433.34,38131.77,,370
122,15708422,Hsiung,674,39,120193.42,100130.95,,510
123,15655632,MacDonald,656,39,0,141069.88,,638
124,15744606,Davidson,684,48,126384.42,198129.36,,462
125,15612140,Milano,625,28,0,183646.41,,718
126,15656086,Bovee,432,42,152603.45,110265.24,,437
127,15655298,Lewis,549,52,0,8636.05,,485
128,15644796,Dyer,625,56,148507.24,46824.08,,410
129,15726250,Hsia,828,41,0,171378.77,,666
130,15764432,Hicks,770,24,101827.07,167256.35,,730
131,15631721,Millar,758,34,0,124226.16,,375
132,15707479,Fan,795,33,130862.43,114935.21,,411
133,15579826,Young,687,38,122570.87,35608.88,,595
134,15668104,Kerr,686,25,0,16459.37,,578
135,15641604,Frolova,789,39,124828.46,124411.08,,377
136,15587240,Vasilyev,589,50,144895.05,34941.23,,831
137,15680767,Sabbatini,461,34,63663.93,167784.28,,497
138,15601594,Ifeanacho,637,40,133463.1,93165.34,,374
139,15589969,Capon,584,48,213146.2,75161.25,,814
140,15703728,Chieloka,579,35,129490.36,8590.83,,247
141,15617790,Hanson,756,44,137452.09,189543.9,,965
142,15662500,Ts'ao,663,34,0,180427.24,,912
143,15778526,Bradshaw,682,43,125851.93,193318.33,,462
144,15670584,Nkemakolam,793,52,0,159123.82,,883
145,15748069,Clunie,691,31,40915.55,126213.84,,402
146,15680597,Cover,485,21,113157.22,54141.5,,764
147,15628992,Esposito,635,29,138296.94,141075.51,,608
148,15719624,Hodgson,650,37,106967.18,24495.03,,652
149,15812767,Harvey,735,44,120681.63,74836.34,,520
150,15689201,Dobie,416,32,0,878.87,,884
151,15614716,Okwudilichukwu,754,32,0,89520.75,,800
152,15683618,Dyer,535,48,0,149892.79,,697
153,15799631,Chase,716,42,0,180800.42,,427
154,15692259,Baresi,539,37,127609.59,98646.22,,620
155,15590966,Lo,614,43,0,109041.53,,318
156,15656426,Tyler,706,57,0,17941.16,,701
157,15675256,Ts'ui,758,33,0,82996.47,,953
158,15751185,Aparicio,586,28,0,92067.35,,635
159,15789582,Macleod,646,73,97259.25,104719.66,,250
160,15651103,Sal,631,33,123246.7,112687.57,,662
161,15672299,Yeh,717,22,101060.25,84699.56,,666
162,15772250,Udegbunam,684,30,0,83473.82,,699
163,15763922,Alexandrov,800,49,108007.36,47125.11,,855
164,15633870,Ozioma,721,36,0,106977.8,,534
165,15624323,Atkins,683,29,133702.89,55582.54,,388
166,15688612,Campos,660,31,125189.75,139874.43,,612
167,15694644,Wood,704,24,113034.22,162503.48,,801
168,15587174,Kerr,615,41,109013.23,196499.96,,561
169,15579559,Chienezie,667,39,0,40721.24,,308
170,15775430,Tsou,682,24,57929.81,53134.3,,643
171,15623695,McKinnon,484,29,130114.39,164017.89,,249
172,15760849,Nwachukwu,628,27,95826.49,155996.96,,818
173,15813095,Nwebube,480,44,129608.57,5472.7,,775
174,15705281,Burt,578,30,169462.09,112187.11,,872
175,15812594,Ross,512,40,0,146457.83,,435
176,15626322,Lees,484,35,133868.21,27286.1,,415
177,15723105,Feetham,510,30,0,130553.47,,430
178,15588449,Chuang,606,36,190479.48,179351.89,,929
179,15794849,Aitken,597,40,101993.12,94774.12,,681
180,15620000,Chambers,754,55,161608.81,8080.85,,810
181,15799720,Coburn,850,45,122311.21,19482.5,,739
182,15711287,Ahmed,510,65,0,48071.61,,280
183,15613102,Ogochukwu,778,45,162150.42,174531.27,,250
184,15621440,Soto,636,42,0,55470.78,,991
185,15677146,Obiajulu,804,50,0,8546.87,,482
186,15801169,Yegorova,514,32,0,95857.18,,423
187,15722425,Lucchese,730,39,99010.67,194945.8,,260
188,15682421,Talbot,525,37,0,131521.72,,642
189,15691910,Lu,616,30,0,196108.51,,701
190,15721779,Arnold,687,34,111388.18,148564.76,,570
191,15579548,Nicholson,715,41,56214.85,92982.61,,790
192,15681075,Chukwualuka,512,36,84327.77,17675.36,,727
193,15607884,Wallace,479,40,0,114996.43,,909
194,15767757,Pisano,601,32,93012.89,86957.42,,799
195,15791550,Kelly,580,29,61710.44,128077.8,,520
196,15658589,Brady,807,35,174790.15,600.36,,861
197,15670822,Palmer,616,32,0,43001.46,,512
198,15629744,Tan,721,37,107720.64,158591.12,,478
199,15660768,L?,501,57,0,47847.19,,374
200,15726310,Mordvinova,521,35,96423.84,10488.44,,280
201,15641298,Corones,850,30,141040.01,5978.2,,615
202,15625675,Clements,759,42,105420.18,121409.06,,435
203,15713354,Morrice,516,50,0,146145.93,,509
204,15633866,Hsiung,711,38,129022.06,14374.86,,321
205,15704231,Barrett,512,33,176666.62,94670.77,,726
206,15735400,Kanayochukwu,550,37,0,179670.31,,516
207,15632826,Tardent,608,41,89763.84,199304.74,,639
208,15751022,Bowhay,618,34,134954.53,151954.39,,512
209,15664737,Lei,643,45,0,142513.5,,730
210,15681126,Baker,671,45,106376.85,158264.62,,244
211,15738954,Pisano,689,33,161814.64,169381.9,,292
212,15662263,Castillo,603,31,0,169915.02,,245
213,15621611,Gibson,620,41,0,88852.47,,848
214,15783752,Lindsay,676,34,63095.01,40645.81,,974
215,15709474,Macnamara,572,26,118287.01,60427.3,,958
216,15701280,Romano,668,47,106854.21,157959.02,,629
217,15671104,Aksakova,695,46,49512.55,133007.34,,310
218,15796434,Farnsworth,730,33,0,176576.62,,621
219,15781505,Giordano,807,43,105799.32,34888.04,,924
220,15625819,Arnold,592,54,0,28737.71,,359
221,15753174,Thompson,726,31,114722.05,98178.57,,811
222,15654067,Koch,514,30,0,125010.24,,583
223,15724719,Jones,567,42,0,167984.61,,959
224,15624695,Otitodilinna,850,33,0,4861.72,,359
225,15718216,Fleetwood-Smith,671,45,99564.22,108872.45,,901
226,15586300,Chinonyelum,670,37,170557.91,198252.88,,729
227,15783349,Montague,694,30,0,26960.31,,829
228,15725767,Milani,547,39,74596.15,85746.52,,790
229,15791925,Palermo,751,50,96888.39,77206.25,,756
230,15793585,Anderson,594,29,130830.22,61048.53,,873
231,15576641,Crawford,673,72,0,111981.19,,865
232,15749519,Lin,610,40,0,62232.6,,690
233,15684960,Yewen,512,37,0,156105.03,,722
234,15591286,Simmons,767,20,119714.25,150135.38,,535
235,15668323,Mbadiwe,585,67,113978.97,93146.11,,580
236,15608528,Munro,763,42,100160.75,33462.94,,709
237,15645184,Graham,712,29,0,144375,,930
238,15702566,Lombardo,539,43,116220.5,55803.96,,264
239,15660840,Kalinin,668,46,0,89048.46,,943
240,15750811,Woodward,703,28,81173.83,162812.16,,388
241,15733842,Pirozzi,662,38,0,136259.65,,248
242,15581526,Iweobiegbulam,725,39,116803.8,124052.97,,763
243,15662751,Piazza,703,37,105961.68,74158.8,,619
244,15684319,Baranova,659,67,117411.6,45071.09,,815
245,15702190,Fan,523,34,0,62030.06,,566
246,15588517,Sun,635,40,123497.58,131953.23,,774
247,15801863,Marino,772,26,152400.51,79414,,695
248,15584271,Donaldson,545,26,0,199638.56,,902
249,15700366,Burton,634,24,103097.85,157577.29,,532
250,15804038,Quinn,739,54,126418.14,134420.75,,718
251,15720820,Sabbatini,771,36,77846.9,99805.99,,895
252,15743759,Brooks,587,34,0,97932.68,,749
253,15749947,Black,681,79,0,170968.99,,333
254,15670496,Schwartz,544,37,79731.91,57558.95,,866
255,15746664,Ts'ui,696,28,0,176713.47,,671
256,15745533,Sargent,766,41,0,34283.23,,670
257,15761497,Udinesi,727,34,0,198637.34,,768
258,15628600,Lee,671,34,37266.67,156917.12,,565
259,15627002,Taylor,693,30,127992.25,50457.2,,483
260,15614635,Kepley,850,38,54901.01,140075.55,,926
261,15731281,Ozuluonye,732,42,108748.08,65323.11,,932
262,15814022,Lassetter,726,48,99906.19,64323.24,,901
263,15659194,Mishina,557,32,184686.41,14956.44,,299
264,15745030,Trevisano,682,26,110654.02,111879.21,,899
265,15691817,Iloerika,738,31,79019.8,18606.23,,467
266,15707488,Tan,531,36,99240.51,123137.01,,717
267,15784700,Chikelu,498,34,0,148528.24,,549
268,15710397,Lin,651,36,0,13898.31,,545
269,15687648,Nicholson,549,39,0,81259.25,,716
270,15732281,Ugoji,791,35,52436.2,161051.75,,650
271,15607230,Michel,650,41,0,191599.67,,693
272,15567630,Bruce,733,34,100337.96,48559.19,,759
273,15587507,Feng,811,34,149297.19,186339.74,,946
274,15733904,McDonald,707,30,0,33159.37,,402
275,15709511,Watt,712,28,145605.44,93883.53,,465
276,15579616,Goodwin,706,37,0,110899.3,,799
277,15694852,Arcuri,756,62,0,11199.04,,600
278,15589924,Rapuluolisa,777,53,0,189992.97,,306
279,15799300,Kao,646,35,84026.86,164255.69,,635
280,15731330,Tsui,714,46,0,152167.79,,747
281,15694129,Summers,782,39,0,33949.67,,424
282,15620372,Cross,775,29,0,68143.93,,913
283,15744622,Osorio,479,35,138718.92,47251.79,,751
284,15799815,Bobrov,807,42,118274.71,25885.72,,899
285,15759250,Barnett,799,22,174185.98,192633.85,,219
286,15732643,Pike,675,40,113208.86,34577.36,,587
287,15690540,Gearheart,602,29,103907.28,161229.84,,861
288,15803078,Bruno,475,32,119023.28,100816.29,,278
289,15652180,Egobudike,744,26,166297.89,181694.44,,526
290,15741195,Okechukwu,588,34,0,79078.91,,632
291,15743490,Zikoranachidimma,703,42,63227,137316.32,,301
292,15575510,Milanesi,747,41,94521.17,194926.86,,806
293,15732610,Ahern,583,27,0,51285.49,,250
294,15602909,Dickson,750,34,112822.26,150401.53,,563
295,15734058,Anayochukwu,681,38,0,112491.96,,861
296,15801788,McDonald,773,25,135903.33,73656.38,,790
297,15702462,Fiorentini,714,31,125169.26,106636.89,,669
298,15683416,Russo,687,44,0,155853.52,,336
299,15794187,Young,511,58,149117.31,162599.51,,517
300,15792989,Bianchi,627,33,0,103737.82,,499
301,15613734,Fallaci,694,31,0,160990.27,,673
302,15606177,Crawford,616,36,132311.71,15462.84,,268
303,15636700,Marsh,687,35,0,10334.05,,809
304,15645766,Kosisochukwu,712,33,0,190686.16,,460
305,15671345,Piccio,553,33,118082.89,94440.45,,221
306,15652469,Nevels,667,31,119266.69,28257.63,,730
307,15749638,Kaodilinakachukwu,731,43,0,170034.95,,777
308,15728706,Amaechi,629,35,156847.29,31824.29,,837
309,15735439,P'an,614,50,137104.47,127166.49,,958
310,15778696,Ikemefuna,438,31,78398.69,44937.01,,809
311,15624744,Tai,652,80,0,188603.07,,662
312,15584338,Winn,729,30,63669.42,145111.37,,484
313,15726178,Hardy,642,38,0,171463.83,,737
314,15794939,Chiu,806,59,135296.33,182822.5,,486
315,15788068,Lopez,744,36,153804.44,87213.33,,252
316,15572956,Steen,474,37,0,57175.32,,275
317,15780386,Ferri,559,49,147069.78,120540.83,,245
318,15791114,Yegorova,706,42,0,28714.34,,361
319,15708046,Knowles,628,22,0,85426.28,,483
320,15719779,May,429,24,95741.75,46170.75,,352
321,15591550,Bianchi,525,57,145965.33,64448.36,,337
322,15639368,Pipes,680,30,141441.75,16278.97,,597
323,15699830,Doherty,749,40,139290.41,182855.42,,381
324,15569264,Yobanna,763,31,0,50404.72,,668
325,15595158,Hsu,734,30,0,107640.25,,245
326,15599126,Russell,716,35,144428.87,134132.65,,495
327,15650575,Payne,594,35,0,103480.69,,378
328,15641490,Windsor,644,46,95441.27,108761.05,,568
329,15680234,Bray,671,35,144848.74,179012.3,,731
330,15592230,Seleznyov,664,26,116244.14,95145.14,,837
331,15626212,Wark,656,50,0,72143.44,,829
332,15700627,Y?,667,40,146502.07,19162.89,,230
333,15782641,Brown,663,44,117028.6,144680.18,,919
334,15784445,Huang,584,30,112013.81,177772.03,,641
335,15813681,Zito,626,37,108269.37,5597.94,,457
336,15596649,Bailey,485,29,182123.79,116828.51,,583
337,15700460,Allnutt,659,32,150923.74,174652.51,,849
338,15724076,Christie,649,33,0,2010.98,,720
339,15784000,Pope,805,39,165272.13,14109.85,,317
340,15733966,Johnstone,716,39,115301.31,43527.4,,465
341,15612667,Bird,642,40,129502.49,86099.23,,269
342,15654025,Jones,659,31,118342.26,161574.19,,391
343,15589431,Pedder,545,47,0,38970.14,,373
344,15578238,Calabrese,543,22,0,127587.22,,251
345,15566269,Chialuka,718,25,0,30380.12,,237
346,15639217,McKenzie,840,43,0,90908.95,,645
347,15688644,Holloway,630,34,106937.05,138275.01,,624
348,15662426,Tang,643,59,170331.37,32171.79,,838
349,15720511,Byrne,654,32,114510.85,126143.23,,224
350,15567246,Selwyn,582,39,0,129892.93,,343
351,15647965,Genovese,659,32,107594.11,102416.84,,683
352,15679048,Koger,762,39,81273.13,18719.67,,929
353,15675749,Baranov,568,32,169399.6,61936.22,,234
354,15782181,Greco,670,25,0,78358.94,,723
355,15795738,Owens,613,45,187841.99,147224.27,,482
356,15773751,Y?,539,30,0,160979.66,,231
357,15655436,Kendall,850,57,126776.3,132298.49,,244
358,15691396,Ko,522,34,126436.29,174248.52,,973
359,15796958,Tang,737,41,101960.74,123547.28,,463
360,15801832,Lombardo,520,58,0,32790.02,,253
361,15661349,Perkins,706,28,0,181543.67,,241
362,15719265,Feng,643,45,150842.93,2319.96,,537
363,15779985,Lo,648,50,102535.57,189543.19,,332
364,15663410,Piccio,443,29,99027.61,10940.4,,390
365,15704144,Mazzanti,640,68,0,199493.38,,763
366,15774104,Chukwualuka,628,33,0,188193.25,,240
367,15812230,Elliot,540,42,87271.41,172572.64,,978
368,15742848,Gratton,460,35,102742.91,189339.6,,366
369,15745326,Carandini,636,34,40105.51,53512.16,,356
370,15674541,Robinson,593,29,152265.43,34004.44,,907
371,15728564,Lo,801,42,141947.67,10598.29,,687
372,15580701,Ma,640,75,106307.91,113428.77,,703
373,15688973,Vinogradova,611,31,107884.81,183487.98,,388
374,15709412,H?,802,31,125013.72,187658.09,,579
375,15607753,Alexandrova,717,35,58469.37,172459.39,,793
376,15705352,Yang,769,39,0,21016,,828
377,15602500,Maslova,745,45,117231.63,122381.02,,291
378,15672437,Buccho,572,35,152390.26,128123.66,,951
379,15720968,Young,629,30,34013.63,19570.63,,952
380,15730796,Barker,687,39,0,188150.6,,616
381,15768219,Sung,483,50,0,111020.24,,706
382,15663883,Hansen,690,36,101583.11,123775.15,,423
383,15589296,Brown,492,30,77168.87,146700.22,,552
384,15586425,Lo Duca,709,28,124695.72,145251.35,,665
385,15679813,Ellis,705,44,105934.96,82463.69,,351
386,15681410,Korff,560,66,0,15928.49,,906
387,15668283,Gardiner,611,46,0,45886.33,,406
388,15624072,Kiernan,730,62,0,186489.95,,594
389,15669664,Thompson,709,45,0,162922.65,,815
390,15682728,Mathews,544,21,161525.96,9262.77,,458
391,15573851,Macrossan,712,29,147199.07,84932.4,,886
392,15733661,Illingworth,752,38,183102.29,71557.12,,833
393,15710012,Bowen,648,46,127209,77405.95,,932
394,15763327,Craig,556,38,0,417.41,,632
395,15668853,Menhennitt,594,24,97378.54,71405.17,,431
396,15639303,Moore,645,37,136925.09,153400.24,,739
397,15691011,Shoebridge,557,33,54503.55,371.05,,362
398,15638513,Palermo,547,32,155726.85,67789.99,,309
399,15648933,Reilly,701,39,0,145894.9,,513
400,15628904,Bowen,616,66,135842.41,183840.51,,302
401,15644788,Fyodorov,605,52,63349.75,108887.44,,437
402,15598161,Clements,593,38,129499.42,154071.27,,337
403,15745624,McKenzie,751,52,0,179291.85,,629
404,15733169,Craig,443,36,70438.01,56937.43,,858
405,15801417,Iloerika,685,23,0,112239.03,,543
406,15592707,Dolgorukova,718,36,0,45909.87,,939
407,15593954,Eva,538,49,141434.04,173779.25,,797
408,15714431,Yeh,611,37,0,125696.26,,629
409,15638257,P'an,668,37,152958.29,159585.61,,743
410,15690939,Howe,537,41,138306.34,106761.47,,767
411,15723613,Jenkins,709,23,0,129590.18,,246
412,15813640,Shih,850,38,0,80006.65,,480
413,15707322,Nnamdi,745,31,124328.84,140451.52,,924
414,15588918,Mitchell,693,41,181461.48,187929.43,,430
415,15600357,Findlay,795,35,0,167155.36,,708
416,15747014,Pisani,626,26,0,191420.71,,701
417,15809830,Belisario,487,61,110368.03,11384.45,,982
418,15662245,Pomeroy,556,39,89588.35,94898.1,,827
419,15651075,Ibrahimova,643,46,0,106781.59,,597
420,15594456,K?,605,28,0,159508.52,,468
421,15583462,Graham,756,60,115924.89,93524.19,,523
422,15757661,Trevisano,586,38,0,87168.46,,650
423,15729117,Trevisano,535,40,111756.5,8128.32,,567
424,15749671,K?,678,35,0,125518.32,,749
425,15566253,Manning,596,39,0,48963.59,,390
426,15595153,Tucker,648,26,162923.85,98368.24,,922
427,15698572,Schaffer,492,39,124576.65,148584.61,,560
428,15674149,Esomchi,702,45,80793.58,27474.81,,994
429,15623082,Ch'ang,486,40,71340.09,76192.21,,530
430,15797905,Walker,568,40,99282.63,134600.94,,818
431,15746028,Chu,619,57,137946.39,72467.99,,367
432,15582951,Crawford,724,41,127892.57,199645.45,,393
433,15616471,Milne,548,33,101084.36,42749.85,,860
434,15641575,Anenechukwu,545,37,114754.08,136050.44,,958
435,15638803,Donaldson,683,33,0,73564.44,,576
436,15808283,Kelly,762,51,99286.98,85578.63,,887
437,15811200,Ts'ao,627,30,79871.02,129826.89,,396
438,15733476,Gonzalez,516,35,104088.59,119666,,565
439,15633274,Tai,800,38,168190.33,68052.08,,874
440,15582168,Muravyova,464,42,85679.25,164104.74,,665
441,15807269,Milanesi,626,35,0,80190.36,,680
442,15602979,Lin,790,31,0,84126.75,,319
443,15660417,Lambert,534,34,121551.58,70179,,351
444,15590199,Temple,745,46,122220.19,118024.1,,781
445,15641794,Ridley,553,47,116528.15,145704.19,,918
446,15779174,Young,748,26,77780.29,183049.41,,340
447,15785547,Slye,722,37,0,120906.83,,625
448,15795124,Pan,501,40,125832.2,100433.83,,923
449,15718912,Hsueh,675,38,68065.8,138777,,543
450,15592028,Roberts,778,47,127299.34,124694.99,,859
451,15580227,Moss,494,38,174937.64,40084.32,,794
452,15657830,Andrews,850,40,0,119232.33,,241
453,15798256,Takasuka,592,31,110071.1,43921.36,,702
454,15643819,Dawson,590,44,139432.37,62222.81,,816
455,15754301,Bruche,758,39,127357.76,56577,,404
456,15726855,Oliver,506,36,0,164253.35,,299
457,15755225,Ryan,733,33,0,7666.73,,855
458,15725221,Sabbatini,711,38,0,68487.51,,886
459,15789055,Watt,514,43,95556.31,199273.98,,774
460,15617507,Wilson,637,37,0,186062.36,,699
461,15668894,Abramova,468,29,111681.98,195711.16,,977
462,15589563,Purdy,539,39,0,36692.17,,426
463,15693162,Higgins,509,25,108738.71,106920.57,,595
464,15750099,Marshall,662,32,133950.37,48725.68,,368
465,15795540,Reye,818,26,0,167036.94,,261
466,15794941,Chibueze,608,33,89968.69,68777.26,,614
467,15611848,Kwemtochukwu,850,32,0,18924.92,,765
468,15581237,Biryukova,816,38,130878.75,71905.77,,961
469,15738150,Chidozie,536,35,0,64833.28,,345
470,15678571,Barber,753,35,0,184843.77,,330
471,15736124,Thompson,631,27,134169.62,176730.02,,863
472,15623202,Maslov,703,37,149762.08,20629.4,,371
473,15804201,Jones,774,26,93844.69,28415.36,,282
474,15596863,Chidumaga,785,28,0,77231.27,,937
475,15696277,Hs?,571,33,0,102750.7,,722
476,15748608,Trentini,621,46,141078.37,34580.8,,956
477,15723864,Lucas,605,31,117992.59,183598.77,,496
478,15802390,Willoughby,611,40,100812.33,147358.27,,927
479,15774336,Jamieson,569,38,0,108469.2,,550
480,15648766,Robertson,658,29,80262.6,20612.82,,420
481,15659094,Ojiofor,788,34,156478.62,181196.76,,760
482,15606397,Cameron,525,23,0,160249.1,,225
483,15642619,Mayne,798,37,0,110783.28,,860
484,15666032,Mancini,486,37,115217.99,144995.33,,882
485,15595842,Paramor,615,61,0,150227.85,,683
486,15753837,Young,730,35,155470.55,53718.28,,500
487,15783882,Daly,641,37,0,75248.3,,516
488,15799790,Carter,542,39,135096.77,14353.43,,328
489,15628155,Dike,692,30,0,130486.57,,751
490,15703778,Hughes,714,55,180075.22,100127.71,,652
491,15722322,Green,591,29,97541.24,196356.17,,850
492,15639278,Chinomso,710,41,156067.05,9983.88,,678
493,15568487,Gorshkov,639,38,81550.94,118974.77,,860
494,15682084,Chinomso,531,47,0,194998.34,,510
495,15642821,Ijendu,673,38,170061.92,134901.34,,954
496,15601387,Yen,765,36,92310.54,72924.56,,547
497,15642515,Arcuri,622,32,169089.38,101057.95,,238
498,15710421,Baresi,806,40,80613.93,142838.64,,314
499,15726774,Field,757,26,121581.56,127059.04,,595
500,15649078,Christian,570,58,0,116503.92,,257
501,15641877,Ross,555,32,0,54405.79,,850
502,15796496,Trevisani,692,54,0,88721.84,,552
503,15815690,Akabueze,774,60,85891.55,74135.48,,540
504,15631739,Dunn,638,44,77637.35,111346.22,,343
505,15625584,Martin,543,41,0,194902.16,,331
506,15802466,Donaldson,584,31,0,31474.27,,568
507,15697028,McClinton,691,30,116927.89,21198.39,,813
508,15575759,Bentley,684,40,137326.65,186976.6,,530
509,15567442,Ibezimako,733,22,0,117202.19,,279
510,15746805,Thomson,599,37,0,143739.29,,516
511,15636330,Ch'in,524,31,67238.98,161811.23,,685
512,15714970,Holbrook,632,38,86569.76,98090.91,,435
513,15653784,Solomina,735,34,0,71095.41,,898
514,15693543,McDonald,734,34,133598.4,13107.24,,693
